id,denominacion,bruta,periodicidad
10,OTROS INGRESOS POR SALARIOS,"$11,412.00 ",MENSUAL
10,DIAS DE AJUSTE,"$4,631.65 ",ANUAL
11,DIAS DE AJUSTE,"$11,638.28 ",ANUAL
11,OTROS INGRESOS POR SALARIOS,"$12,310.00 ",MENSUAL
11,COMPENSACIÓN ANTIGUEDAD,"$4,544.10 ",MENSUAL
12,DIAS DE AJUSTE,"$8,182.94 ",ANUAL
12,OTROS INGRESOS POR SALARIOS,"$12,062.00 ",MENSUAL
12,COMPENSACIÓN ANTIGUEDAD,"$18,495.68 ",MENSUAL
13,OTROS INGRESOS POR SALARIOS,"$9,510.00 ",MENSUAL
13,DIAS DE AJUSTE,"$7,583.89 ",ANUAL
13,COMPENSACIÓN ANTIGUEDAD,"$3,501.02 ",MENSUAL
14,COMPENSACIÓN ANTIGUEDAD,"$4,244.10 ",MENSUAL
14,DIAS DE AJUSTE,"$12,840.94 ",ANUAL
14,OTROS INGRESOS POR SALARIOS,"$25,713.00 ",MENSUAL
15,COMPENSACIÓN ANTIGUEDAD,"$13,312.80 ",MENSUAL
15,OTROS INGRESOS POR SALARIOS,"$8,071.00 ",MENSUAL
15,DIAS DE AJUSTE,"$5,990.76 ",ANUAL
16,OTROS INGRESOS POR SALARIOS,"$25,713.00 ",MENSUAL
16,DIAS DE AJUSTE,"$13,596.29 ",ANUAL
16,COMPENSACIÓN ANTIGUEDAD,"$5,001.98 ",MENSUAL
17,DIAS DE AJUSTE,"$12,197.32 ",ANUAL
17,COMPENSACIÓN ANTIGUEDAD,"$2,358.76 ",MENSUAL
17,OTROS INGRESOS POR SALARIOS,"$6,726.00 ",MENSUAL
18,DIAS DE AJUSTE,"$5,990.76 ",ANUAL
18,COMPENSACIÓN ANTIGUEDAD,"$13,728.82 ",MENSUAL
18,OTROS INGRESOS POR SALARIOS,"$8,071.00 ",MENSUAL
19,COMPENSACIÓN ANTIGUEDAD,"$21,114.22 ",MENSUAL
19,DIAS DE AJUSTE,"$9,213.48 ",ANUAL
19,OTROS INGRESOS POR SALARIOS,"$19,777.00 ",MENSUAL
20,COMPENSACIÓN ANTIGUEDAD,"$3,698.48 ",MENSUAL
20,OTROS INGRESOS POR SALARIOS,"$8,095.00 ",MENSUAL
20,DIAS DE AJUSTE,"$13,027.49 ",ANUAL
21,COMPENSACIÓN ANTIGUEDAD,"$13,312.80 ",MENSUAL
21,OTROS INGRESOS POR SALARIOS,"$8,071.00 ",MENSUAL
21,DIAS DE AJUSTE,"$5,990.76 ",ANUAL
22,COMPENSACIÓN ANTIGUEDAD,"$4,790.40 ",MENSUAL
22,OTROS INGRESOS POR SALARIOS,"$16,480.00 ",MENSUAL
22,DIAS DE AJUSTE,"$11,647.04 ",ANUAL
23,DIAS DE AJUSTE,"$5,749.63 ",ANUAL
23,COMPENSACIÓN ANTIGUEDAD,"$3,080.16 ",MENSUAL
23,OTROS INGRESOS POR SALARIOS,"$30,857.00 ",MENSUAL
24,COMPENSACIÓN ANTIGUEDAD,"$3,698.48 ",MENSUAL
24,DIAS DE AJUSTE,"$9,782.44 ",ANUAL
24,OTROS INGRESOS POR SALARIOS,"$8,095.00 ",MENSUAL
25,DIAS DE AJUSTE,"$5,990.76 ",ANUAL
25,COMPENSACIÓN ANTIGUEDAD,"$13,728.82 ",MENSUAL
25,OTROS INGRESOS POR SALARIOS,"$8,071.00 ",MENSUAL
26,DIAS DE AJUSTE,"$8,330.44 ",ANUAL
26,OTROS INGRESOS POR SALARIOS,"$8,497.00 ",MENSUAL
26,COMPENSACIÓN ANTIGUEDAD,"$2,870.18 ",MENSUAL
27,DIAS DE AJUSTE,"$8,470.44 ",ANUAL
27,OTROS INGRESOS POR SALARIOS,"$30,857.00 ",MENSUAL
27,COMPENSACIÓN ANTIGUEDAD,"$16,684.20 ",MENSUAL
28,COMPENSACIÓN ANTIGUEDAD,"$2,794.96 ",MENSUAL
28,DIAS DE AJUSTE,"$4,551.79 ",ANUAL
28,OTROS INGRESOS POR SALARIOS,"$11,412.00 ",MENSUAL
29,COMPENSACIÓN ANTIGUEDAD,"$21,114.22 ",MENSUAL
29,DIAS DE AJUSTE,"$9,213.48 ",ANUAL
29,OTROS INGRESOS POR SALARIOS,"$19,777.00 ",MENSUAL
30,OTROS INGRESOS POR SALARIOS,"$10,051.00 ",MENSUAL
30,COMPENSACIÓN ANTIGUEDAD,"$4,504.50 ",MENSUAL
30,DIAS DE AJUSTE,"$8,371.84 ",ANUAL
31,OTROS INGRESOS POR SALARIOS,"$6,726.00 ",MENSUAL
31,COMPENSACIÓN ANTIGUEDAD,"$2,594.62 ",MENSUAL
31,DIAS DE AJUSTE,"$7,423.75 ",ANUAL
32,DIAS DE AJUSTE,"$9,655.40 ",ANUAL
32,OTROS INGRESOS POR SALARIOS,"$20,776.00 ",MENSUAL
32,COMPENSACIÓN ANTIGUEDAD,"$4,931.86 ",MENSUAL
33,COMPENSACIÓN ANTIGUEDAD,"$3,362.24 ",MENSUAL
33,OTROS INGRESOS POR SALARIOS,"$8,095.00 ",MENSUAL
33,DIAS DE AJUSTE,"$17,104.24 ",ANUAL
34,OTROS INGRESOS POR SALARIOS,"$10,197.00 ",MENSUAL
34,COMPENSACIÓN ANTIGUEDAD,"$5,956.48 ",MENSUAL
34,DIAS DE AJUSTE,"$4,839.64 ",ANUAL
35,COMPENSACIÓN ANTIGUEDAD,"$16,427.78 ",MENSUAL
35,DIAS DE AJUSTE,"$8,231.85 ",ANUAL
35,OTROS INGRESOS POR SALARIOS,"$17,634.00 ",MENSUAL
36,DIAS DE AJUSTE,"$13,510.76 ",ANUAL
36,OTROS INGRESOS POR SALARIOS,"$44,107.30 ",MENSUAL
36,COMPENSACIÓN ANTIGUEDAD,"$4,924.36 ",MENSUAL
37,COMPENSACIÓN ANTIGUEDAD,"$5,630.46 ",MENSUAL
37,OTROS INGRESOS POR SALARIOS,"$19,777.00 ",MENSUAL
37,DIAS DE AJUSTE,"$6,244.69 ",ANUAL
38,COMPENSACIÓN ANTIGUEDAD,"$4,504.50 ",MENSUAL
38,DIAS DE AJUSTE,"$13,379.21 ",ANUAL
38,OTROS INGRESOS POR SALARIOS,"$10,051.00 ",MENSUAL
39,DIAS DE AJUSTE,"$13,857.40 ",ANUAL
39,OTROS INGRESOS POR SALARIOS,"$36,108.00 ",MENSUAL
39,COMPENSACIÓN ANTIGUEDAD,"$5,083.66 ",MENSUAL
40,OTROS INGRESOS POR SALARIOS,"$16,480.00 ",MENSUAL
40,COMPENSACIÓN ANTIGUEDAD,"$6,493.16 ",MENSUAL
40,DIAS DE AJUSTE,"$9,085.52 ",ANUAL
41,COMPENSACIÓN ANTIGUEDAD,"$7,586.32 ",MENSUAL
41,OTROS INGRESOS POR SALARIOS,"$11,412.00 ",MENSUAL
41,DIAS DE AJUSTE,"$5,430.21 ",ANUAL
42,OTROS INGRESOS POR SALARIOS,"$43,331.00 ",MENSUAL
42,DIAS DE AJUSTE,"$8,834.02 ",ANUAL
42,COMPENSACIÓN ANTIGUEDAD,"$12,341.64 ",MENSUAL
43,DIAS DE AJUSTE,"$5,133.60 ",ANUAL
43,OTROS INGRESOS POR SALARIOS,"$30,857.00 ",MENSUAL
44,DIAS DE AJUSTE,"$9,697.82 ",ANUAL
44,COMPENSACIÓN ANTIGUEDAD,"$19,966.10 ",MENSUAL
44,OTROS INGRESOS POR SALARIOS,"$40,642.00 ",MENSUAL
45,OTROS INGRESOS POR SALARIOS,"$8,497.00 ",MENSUAL
45,DIAS DE AJUSTE,"$7,098.99 ",ANUAL
45,COMPENSACIÓN ANTIGUEDAD,"$2,870.18 ",MENSUAL
46,COMPENSACIÓN ANTIGUEDAD,"$13,495.16 ",MENSUAL
46,DIAS DE AJUSTE,"$6,242.60 ",ANUAL
46,OTROS INGRESOS POR SALARIOS,"$10,197.00 ",MENSUAL
47,COMPENSACIÓN ANTIGUEDAD,"$4,858.40 ",MENSUAL
47,OTROS INGRESOS POR SALARIOS,"$33,867.00 ",MENSUAL
47,DIAS DE AJUSTE,"$13,599.89 ",ANUAL
48,DIAS DE AJUSTE,"$7,266.64 ",ANUAL
48,OTROS INGRESOS POR SALARIOS,"$8,742.40 ",MENSUAL
48,COMPENSACIÓN ANTIGUEDAD,"$2,870.18 ",MENSUAL
49,COMPENSACIÓN ANTIGUEDAD,"$4,406.40 ",MENSUAL
49,OTROS INGRESOS POR SALARIOS,"$12,310.00 ",MENSUAL
49,DIAS DE AJUSTE,"$8,935.04 ",ANUAL
50,DIAS DE AJUSTE,"$5,584.20 ",ANUAL
50,OTROS INGRESOS POR SALARIOS,"$10,197.00 ",MENSUAL
50,COMPENSACIÓN ANTIGUEDAD,"$9,307.00 ",MENSUAL
51,DIAS DE AJUSTE,"$13,596.29 ",ANUAL
51,OTROS INGRESOS POR SALARIOS,"$25,713.00 ",MENSUAL
51,COMPENSACIÓN ANTIGUEDAD,"$4,850.40 ",MENSUAL
52,COMPENSACIÓN ANTIGUEDAD,"$4,641.00 ",MENSUAL
52,DIAS DE AJUSTE,"$9,169.21 ",ANUAL
52,OTROS INGRESOS POR SALARIOS,"$10,051.00 ",MENSUAL
53,OTROS INGRESOS POR SALARIOS,"$14,773.00 ",MENSUAL
53,COMPENSACIÓN ANTIGUEDAD,"$6,918.14 ",MENSUAL
53,DIAS DE AJUSTE,"$6,111.02 ",ANUAL
54,OTROS INGRESOS POR SALARIOS,"$11,412.00 ",MENSUAL
54,COMPENSACIÓN ANTIGUEDAD,"$16,470.30 ",MENSUAL
54,DIAS DE AJUSTE,"$7,286.86 ",ANUAL
55,OTROS INGRESOS POR SALARIOS,"$10,197.00 ",MENSUAL
55,COMPENSACIÓN ANTIGUEDAD,"$4,759.78 ",MENSUAL
55,DIAS DE AJUSTE,"$5,304.99 ",ANUAL
56,COMPENSACIÓN ANTIGUEDAD,"$5,165.32 ",MENSUAL
56,DIAS DE AJUSTE,"$13,857.40 ",ANUAL
56,OTROS INGRESOS POR SALARIOS,"$42,932.00 ",MENSUAL
57,DIAS DE AJUSTE,"$11,854.47 ",ANUAL
57,OTROS INGRESOS POR SALARIOS,"$43,331.00 ",MENSUAL
57,COMPENSACIÓN ANTIGUEDAD,"$26,794.36 ",MENSUAL
58,OTROS INGRESOS POR SALARIOS,"$3,362.00 ",MENSUAL
58,DIAS DE AJUSTE,"$1,858.58 ",ANUAL
58,COMPENSACIÓN ANTIGUEDAD,"$2,496.60 ",MENSUAL
59,DIAS DE AJUSTE,"$9,110.72 ",ANUAL
59,COMPENSACIÓN ANTIGUEDAD,"$19,231.24 ",MENSUAL
60,COMPENSACIÓN ANTIGUEDAD,"$4,504.50 ",MENSUAL
60,DIAS DE AJUSTE,"$13,565.04 ",ANUAL
60,OTROS INGRESOS POR SALARIOS,"$10,051.00 ",MENSUAL
61,DIAS DE AJUSTE,"$9,935.51 ",ANUAL
61,OTROS INGRESOS POR SALARIOS,$0.00 ,MENSUAL
61,COMPENSACIÓN ANTIGUEDAD,$904.26 ,MENSUAL
62,OTROS INGRESOS POR SALARIOS,"$8,810.00 ",MENSUAL
62,COMPENSACIÓN ANTIGUEDAD,"$4,913.00 ",MENSUAL
62,DIAS DE AJUSTE,"$9,286.01 ",ANUAL
63,COMPENSACIÓN ANTIGUEDAD,"$4,659.48 ",MENSUAL
63,OTROS INGRESOS POR SALARIOS,"$8,071.00 ",MENSUAL
63,DIAS DE AJUSTE,"$4,260.10 ",ANUAL
64,OTROS INGRESOS POR SALARIOS,"$40,642.00 ",MENSUAL
64,COMPENSACIÓN ANTIGUEDAD,"$3,422.76 ",MENSUAL
64,DIAS DE AJUSTE,"$6,389.15 ",ANUAL
65,DIAS DE AJUSTE,"$8,182.94 ",ANUAL
65,COMPENSACIÓN ANTIGUEDAD,"$19,056.16 ",MENSUAL
65,OTROS INGRESOS POR SALARIOS,"$12,062.00 ",MENSUAL
66,COMPENSACIÓN ANTIGUEDAD,"$21,114.22 ",MENSUAL
66,OTROS INGRESOS POR SALARIOS,$0.00 ,MENSUAL
66,DIAS DE AJUSTE,"$9,341.44 ",ANUAL
67,DIAS DE AJUSTE,"$6,073.96 ",ANUAL
67,COMPENSACIÓN ANTIGUEDAD,"$13,728.82 ",MENSUAL
67,OTROS INGRESOS POR SALARIOS,"$8,071.00 ",MENSUAL
68,OTROS INGRESOS POR SALARIOS,"$8,095.00 ",MENSUAL
68,COMPENSACIÓN ANTIGUEDAD,"$3,026.02 ",MENSUAL
68,DIAS DE AJUSTE,"$10,486.69 ",ANUAL
69,COMPENSACIÓN ANTIGUEDAD,"$3,429.58 ",MENSUAL
69,OTROS INGRESOS POR SALARIOS,"$6,400.00 ",MENSUAL
69,DIAS DE AJUSTE,"$15,178.01 ",ANUAL
69,ZONA GEOGRAFICA,"$1,152.80 ",MENSUAL
70,ZONA GEOGRAFICA,"$2,385.20 ",MENSUAL
70,DIAS DE AJUSTE,"$13,273.30 ",ANUAL
70,COMPENSACIÓN ANTIGUEDAD,"$7,095.98 ",MENSUAL
70,OTROS INGRESOS POR SALARIOS,"$11,030.00 ",MENSUAL
71,DIAS DE AJUSTE,"$6,157.17 ",ANUAL
71,COMPENSACIÓN ANTIGUEDAD,"$3,010.54 ",MENSUAL
71,OTROS INGRESOS POR SALARIOS,"$6,726.00 ",MENSUAL
72,OTROS INGRESOS POR SALARIOS,"$30,042.02 ",MENSUAL
72,DIAS DE AJUSTE,"$18,417.64 ",ANUAL
72,COMPENSACIÓN ANTIGUEDAD,"$5,010.22 ",MENSUAL
73,COMPENSACIÓN ANTIGUEDAD,"$17,325.90 ",MENSUAL
73,OTROS INGRESOS POR SALARIOS,"$30,857.00 ",MENSUAL
73,DIAS DE AJUSTE,"$8,470.44 ",ANUAL
74,DIAS DE AJUSTE,"$9,341.44 ",ANUAL
74,COMPENSACIÓN ANTIGUEDAD,"$5,592.34 ",MENSUAL
74,OTROS INGRESOS POR SALARIOS,"$19,777.00 ",MENSUAL
75,ZONA GEOGRAFICA,"$1,391.60 ",MENSUAL
75,DIAS DE AJUSTE,"$11,338.65 ",ANUAL
75,OTROS INGRESOS POR SALARIOS,"$8,497.00 ",MENSUAL
75,COMPENSACIÓN ANTIGUEDAD,"$2,609.24 ",MENSUAL
76,COMPENSACIÓN ANTIGUEDAD,"$9,882.42 ",MENSUAL
76,DIAS DE AJUSTE,"$7,783.65 ",ANUAL
76,ZONA GEOGRAFICA,"$2,683.00 ",MENSUAL
76,OTROS INGRESOS POR SALARIOS,"$10,197.00 ",MENSUAL
77,COMPENSACIÓN ANTIGUEDAD,"$1,762.56 ",MENSUAL
77,DIAS DE AJUSTE,"$11,736.04 ",ANUAL
77,OTROS INGRESOS POR SALARIOS,"$12,310.00 ",MENSUAL
78,OTROS INGRESOS POR SALARIOS,"$19,468.00 ",MENSUAL
78,COMPENSACIÓN ANTIGUEDAD,"$7,157.86 ",MENSUAL
78,DIAS DE AJUSTE,"$19,274.66 ",ANUAL
78,ZONA GEOGRAFICA,"$2,406.00 ",MENSUAL
79,OTROS INGRESOS POR SALARIOS,"$6,726.00 ",MENSUAL
79,DIAS DE AJUSTE,"$9,429.94 ",ANUAL
79,COMPENSACIÓN ANTIGUEDAD,"$2,673.26 ",MENSUAL
80,DIAS DE AJUSTE,"$8,182.94 ",ANUAL
80,OTROS INGRESOS POR SALARIOS,"$12,062.00 ",MENSUAL
80,COMPENSACIÓN ANTIGUEDAD,"$18,495.68 ",MENSUAL
81,COMPENSACIÓN ANTIGUEDAD,"$11,407.20 ",MENSUAL
81,OTROS INGRESOS POR SALARIOS,"$35,476.00 ",MENSUAL
81,DIAS DE AJUSTE,"$7,870.97 ",ANUAL
82,OTROS INGRESOS POR SALARIOS,"$10,197.00 ",MENSUAL
82,COMPENSACIÓN ANTIGUEDAD,"$13,608.26 ",MENSUAL
82,DIAS DE AJUSTE,"$6,794.11 ",ANUAL
83,COMPENSACIÓN ANTIGUEDAD,"$5,270.12 ",MENSUAL
83,OTROS INGRESOS POR SALARIOS,"$5,380.00 ",MENSUAL
83,DIAS DE AJUSTE,"$3,273.02 ",ANUAL
84,DIAS DE AJUSTE,"$7,127.68 ",ANUAL
84,COMPENSACIÓN ANTIGUEDAD,"$1,566.32 ",MENSUAL
84,OTROS INGRESOS POR SALARIOS,"$14,694.00 ",MENSUAL
85,DIAS DE AJUSTE,"$11,947.18 ",ANUAL
85,OTROS INGRESOS POR SALARIOS,"$79,456.00 ",MENSUAL
85,COMPENSACIÓN ANTIGUEDAD,"$23,987.56 ",MENSUAL
86,DIAS DE AJUSTE,"$7,591.94 ",ANUAL
86,COMPENSACIÓN ANTIGUEDAD,"$2,776.68 ",MENSUAL
86,OTROS INGRESOS POR SALARIOS,"$9,510.00 ",MENSUAL
87,DIAS DE AJUSTE,"$6,236.88 ",ANUAL
87,COMPENSACIÓN ANTIGUEDAD,$670.92 ,MENSUAL
87,OTROS INGRESOS POR SALARIOS,$0.00 ,MENSUAL
88,DIAS DE AJUSTE,"$13,783.67 ",ANUAL
88,COMPENSACIÓN ANTIGUEDAD,"$5,150.16 ",MENSUAL
88,OTROS INGRESOS POR SALARIOS,"$22,697.00 ",MENSUAL
89,COMPENSACIÓN ANTIGUEDAD,"$14,144.86 ",MENSUAL
89,OTROS INGRESOS POR SALARIOS,"$8,071.00 ",MENSUAL
89,DIAS DE AJUSTE,"$6,073.96 ",ANUAL
90,OTROS INGRESOS POR SALARIOS,"$19,777.00 ",MENSUAL
90,DIAS DE AJUSTE,"$8,573.66 ",ANUAL
90,COMPENSACIÓN ANTIGUEDAD,"$17,275.28 ",MENSUAL
91,DIAS DE AJUSTE,"$4,923.48 ",ANUAL
91,OTROS INGRESOS POR SALARIOS,$0.00 ,MENSUAL
91,COMPENSACIÓN ANTIGUEDAD,$991.78 ,MENSUAL
92,OTROS INGRESOS POR SALARIOS,"$40,642.00 ",MENSUAL
92,COMPENSACIÓN ANTIGUEDAD,"$19,564.18 ",MENSUAL
92,DIAS DE AJUSTE,"$9,983.05 ",ANUAL
93,OTROS INGRESOS POR SALARIOS,"$35,476.00 ",MENSUAL
93,COMPENSACIÓN ANTIGUEDAD,"$10,836.84 ",MENSUAL
93,DIAS DE AJUSTE,"$7,756.90 ",ANUAL
94,OTROS INGRESOS POR SALARIOS,"$9,510.00 ",MENSUAL
94,COMPENSACIÓN ANTIGUEDAD,"$4,104.66 ",MENSUAL
94,DIAS DE AJUSTE,"$8,253.04 ",ANUAL
95,DIAS DE AJUSTE,"$6,073.96 ",ANUAL
95,COMPENSACIÓN ANTIGUEDAD,"$13,728.82 ",MENSUAL
95,OTROS INGRESOS POR SALARIOS,"$8,071.00 ",MENSUAL
96,DIAS DE AJUSTE,"$19,464.24 ",ANUAL
96,OTROS INGRESOS POR SALARIOS,"$26,342.36 ",MENSUAL
96,ZONA GEOGRAFICA,"$2,554.40 ",MENSUAL
96,COMPENSACIÓN ANTIGUEDAD,"$7,599.34 ",MENSUAL
97,COMPENSACIÓN ANTIGUEDAD,"$16,969.42 ",MENSUAL
97,DIAS DE AJUSTE,"$7,386.68 ",ANUAL
97,OTROS INGRESOS POR SALARIOS,"$11,412.00 ",MENSUAL
98,DIAS DE AJUSTE,"$9,341.44 ",ANUAL
98,OTROS INGRESOS POR SALARIOS,"$19,777.00 ",MENSUAL
98,COMPENSACIÓN ANTIGUEDAD,"$21,114.22 ",MENSUAL
99,OTROS INGRESOS POR SALARIOS,"$11,412.00 ",MENSUAL
99,COMPENSACIÓN ANTIGUEDAD,"$16,470.30 ",MENSUAL
99,DIAS DE AJUSTE,"$7,286.86 ",ANUAL
100,COMPENSACIÓN ANTIGUEDAD,"$14,756.80 ",MENSUAL
100,DIAS DE AJUSTE,"$8,084.16 ",ANUAL
100,OTROS INGRESOS POR SALARIOS,"$27,238.00 ",MENSUAL
101,OTROS INGRESOS POR SALARIOS,"$8,071.00 ",MENSUAL
101,COMPENSACIÓN ANTIGUEDAD,"$12,896.78 ",MENSUAL
101,DIAS DE AJUSTE,"$5,907.56 ",ANUAL
102,COMPENSACIÓN ANTIGUEDAD,"$16,914.74 ",MENSUAL
102,OTROS INGRESOS POR SALARIOS,"$17,634.00 ",MENSUAL
102,DIAS DE AJUSTE,"$7,780.79 ",ANUAL
103,DIAS DE AJUSTE,"$10,323.82 ",ANUAL
103,OTROS INGRESOS POR SALARIOS,"$14,694.00 ",MENSUAL
103,COMPENSACIÓN ANTIGUEDAD,"$4,615.06 ",MENSUAL
104,COMPENSACIÓN ANTIGUEDAD,"$4,681.80 ",MENSUAL
104,DIAS DE AJUSTE,"$11,799.92 ",ANUAL
104,OTROS INGRESOS POR SALARIOS,"$12,310.00 ",MENSUAL
105,COMPENSACIÓN ANTIGUEDAD,"$1,246.72 ",MENSUAL
105,DIAS DE AJUSTE,"$8,608.34 ",ANUAL
105,OTROS INGRESOS POR SALARIOS,$0.00 ,MENSUAL
106,DIAS DE AJUSTE,"$8,182.94 ",ANUAL
106,COMPENSACIÓN ANTIGUEDAD,"$19,056.16 ",MENSUAL
106,OTROS INGRESOS POR SALARIOS,"$12,062.00 ",MENSUAL
107,COMPENSACIÓN ANTIGUEDAD,"$21,114.22 ",MENSUAL
107,DIAS DE AJUSTE,"$9,213.48 ",ANUAL
107,OTROS INGRESOS POR SALARIOS,"$19,777.00 ",MENSUAL
108,DIAS DE AJUSTE,"$8,950.35 ",ANUAL
108,COMPENSACIÓN ANTIGUEDAD,"$2,233.56 ",MENSUAL
108,OTROS INGRESOS POR SALARIOS,"$6,400.00 ",MENSUAL
109,COMPENSACIÓN ANTIGUEDAD,"$16,470.30 ",MENSUAL
109,DIAS DE AJUSTE,"$7,187.04 ",ANUAL
109,OTROS INGRESOS POR SALARIOS,"$11,412.00 ",MENSUAL
110,DIAS DE AJUSTE,"$8,312.79 ",ANUAL
110,COMPENSACIÓN ANTIGUEDAD,"$19,096.96 ",MENSUAL
110,OTROS INGRESOS POR SALARIOS,"$14,773.00 ",MENSUAL
111,DIAS DE AJUSTE,"$5,434.89 ",ANUAL
111,OTROS INGRESOS POR SALARIOS,"$13,786.00 ",MENSUAL
112,DIAS DE AJUSTE,"$13,723.37 ",ANUAL
112,OTROS INGRESOS POR SALARIOS,"$48,919.86 ",MENSUAL
112,COMPENSACIÓN ANTIGUEDAD,"$5,132.80 ",MENSUAL
113,DIAS DE AJUSTE,"$4,261.34 ",ANUAL
113,OTROS INGRESOS POR SALARIOS,$0.00 ,MENSUAL
113,COMPENSACIÓN ANTIGUEDAD,$819.84 ,MENSUAL
114,COMPENSACIÓN ANTIGUEDAD,"$2,689.80 ",MENSUAL
114,DIAS DE AJUSTE,"$6,442.78 ",ANUAL
114,OTROS INGRESOS POR SALARIOS,"$8,095.00 ",MENSUAL
115,COMPENSACIÓN ANTIGUEDAD,"$4,641.00 ",MENSUAL
115,OTROS INGRESOS POR SALARIOS,"$10,051.00 ",MENSUAL
115,DIAS DE AJUSTE,"$13,750.86 ",ANUAL
116,COMPENSACIÓN ANTIGUEDAD,"$16,969.42 ",MENSUAL
116,DIAS DE AJUSTE,"$7,386.68 ",ANUAL
116,OTROS INGRESOS POR SALARIOS,"$11,412.00 ",MENSUAL
117,OTROS INGRESOS POR SALARIOS,"$10,197.00 ",MENSUAL
117,DIAS DE AJUSTE,"$6,235.69 ",ANUAL
117,COMPENSACIÓN ANTIGUEDAD,"$13,029.80 ",MENSUAL
118,DIAS DE AJUSTE,"$9,294.82 ",ANUAL
118,OTROS INGRESOS POR SALARIOS,"$10,051.00 ",MENSUAL
118,COMPENSACIÓN ANTIGUEDAD,"$4,641.00 ",MENSUAL
119,OTROS INGRESOS POR SALARIOS,"$12,310.00 ",MENSUAL
119,DIAS DE AJUSTE,"$13,582.56 ",ANUAL
119,COMPENSACIÓN ANTIGUEDAD,"$4,544.10 ",MENSUAL
120,OTROS INGRESOS POR SALARIOS,"$8,071.00 ",MENSUAL
120,COMPENSACIÓN ANTIGUEDAD,"$8,034.64 ",MENSUAL
120,DIAS DE AJUSTE,"$5,241.92 ",ANUAL
121,OTROS INGRESOS POR SALARIOS,"$8,071.00 ",MENSUAL
121,ZONA GEOGRAFICA,"$6,656.40 ",MENSUAL
121,DIAS DE AJUSTE,"$7,338.68 ",ANUAL
121,COMPENSACIÓN ANTIGUEDAD,"$13,978.44 ",MENSUAL
122,COMPENSACIÓN ANTIGUEDAD,"$14,891.20 ",MENSUAL
122,DIAS DE AJUSTE,"$6,701.04 ",ANUAL
122,OTROS INGRESOS POR SALARIOS,"$10,197.00 ",MENSUAL
123,OTROS INGRESOS POR SALARIOS,"$16,480.00 ",MENSUAL
123,COMPENSACIÓN ANTIGUEDAD,"$5,089.80 ",MENSUAL
123,DIAS DE AJUSTE,"$13,946.22 ",ANUAL
124,OTROS INGRESOS POR SALARIOS,"$8,095.00 ",MENSUAL
124,COMPENSACIÓN ANTIGUEDAD,"$2,913.96 ",MENSUAL
124,DIAS DE AJUSTE,"$10,303.96 ",ANUAL
125,COMPENSACIÓN ANTIGUEDAD,"$17,826.86 ",MENSUAL
125,OTROS INGRESOS POR SALARIOS,"$40,642.00 ",MENSUAL
125,DIAS DE AJUSTE,"$9,127.36 ",ANUAL
126,OTROS INGRESOS POR SALARIOS,"$12,062.00 ",MENSUAL
126,COMPENSACIÓN ANTIGUEDAD,"$3,591.64 ",MENSUAL
126,DIAS DE AJUSTE,"$6,008.29 ",ANUAL
127,DIAS DE AJUSTE,"$5,133.60 ",ANUAL
127,OTROS INGRESOS POR SALARIOS,"$30,857.00 ",MENSUAL
128,DIAS DE AJUSTE,"$9,093.84 ",ANUAL
128,OTROS INGRESOS POR SALARIOS,"$43,331.00 ",MENSUAL
