CVU,NOMBRE,NIVEL
71,"OCHOA DE LA TORRE, JOSE LUIS",Investigador(a) Nacional Nivel III
73,"GOMEZ VALDES, JOSE",Investigador(a) Nacional Nivel II
81,"BÜCKLE RAMIREZ, LUIS FERNANDO",Investigador(a) Nacional Nivel III
83,"OSORIO SAUCEDO, RUPERTO",Investigador(a) Nacional Nivel I
88,"LARA RAMOS, LUIS FERNANDO",Investigador(a) Nacional Nivel III
90,"JOSEPH NATHAN, PEDRO",Investigador(a) Nacional Nivel III
92,"JUARISTI COSIO, EUSEBIO",Investigador(a) Nacional Nivel III
93,"MORALES RIOS, MARTHA SONIA",Investigador(a) Nacional Nivel III
94,"GOROSTIZA Y ORTEGA, LUIS GABRIEL",Investigador(a) Nacional Nivel III
97,"BONILLA ESTRADA, MOISES",Investigador(a) Nacional Nivel I
110,"ORTEGA GUTIERREZ, FERNANDO",Investigador(a) Nacional Nivel III
112,"RICKARDS CAMPBELL, JORGE EDUARDO",Investigador(a) Nacional Nivel III
114,"JOSE Y YACAMAN, MIGUEL",Investigador(a) Nacional Nivel III
115,"PEREZ CAMPOS, RAMIRO",Investigador(a) Nacional Nivel III
116,"AVALOS BORJA, MIGUEL",Investigador(a) Nacional Nivel III
118,"GOMEZ RODRIGUEZ, ALFREDO",Investigador(a) Nacional Nivel II
122,"MARTINEZ MEKLER, GUSTAVO CARLOS",Investigador(a) Nacional Nivel III
124,"SCHABES RETCHKIMAN, PABLO SAMUEL",Investigador(a) Nacional Nivel II
125,"DE LA GARZA Y CAMINO, MARIA DE LAS MERCEDES GUADAL",Investigador(a) Nacional Nivel III
126,"GONZALEZ VALENZUELA, JULIANA",Investigador(a) Nacional Nivel III
138,"LOPEZ AUSTIN, ALFREDO FEDERICO",Investigador(a) Nacional Nivel III
146,"CYPHERS TOMIC, ANN MARIE",Investigador(a) Nacional Nivel III
148,"GAY GARCIA, CARLOS",Investigador(a) Nacional Nivel I
152,"FERNANDEZ GARCIA, MARTHA RAQUEL",Investigador(a) Nacional Nivel II
156,"MUÑOZ RODRIGUEZ, DAVID",Investigador(a) Nacional Nivel III
157,"ALVAREZ GALLEGOS, JAIME",Investigador(a) Nacional Nivel III
159,"ALVAREZ GALLEGOS, JOAQUIN",Investigador(a) Nacional Nivel III
161,"REYES LOPEZ, PEDRO ANTONIO",Investigador(a) Nacional Nivel II
162,"ROSAS PEREZ, IRMA AURORA",Investigador(a) Nacional Nivel III
165,"VON WOBESER HOEPFNER, GISELA",Investigador(a) Nacional Nivel III
167,"DE ICAZA HERRERA, MIGUEL",Investigador(a) Nacional Nivel I
168,"VELAZQUEZ DELGADO, JORGE",Investigador(a) Nacional Nivel III
171,"AVILA SANCHEZ, FRANCISCO RAUL",Investigador(a) Nacional Nivel III
172,"SERRA PUCHE, MARIA DEL CARMEN",Investigador(a) Nacional Nivel III
174,"BUENO AGUILAR, GRACIELA MARGARITA",Investigador(a) Nacional Nivel I
180,"BOILS MORALES, GUILLERMO",Investigador(a) Nacional Nivel III
184,"LOPEZ ROMERO, EVERARDO",Investigador(a) Nacional Nivel III
191,"TAMAYO Y SALMORAN, ROLANDO EDUARDO",Investigador(a) Nacional Nivel III
195,"PEREZ MONTFORT, RUY ENRIQUE",Investigador(a) Nacional Nivel III
201,"ARIAS GALICIA, LUIS FERNANDO",Investigador(a) Nacional Nivel III
202,"CASTAINGTS TEILLERY, JEAN CLAUDE",Investigador(a) Nacional Nivel I
205,"ROMERO GALVAN, JOSE RUBEN",Investigador(a) Nacional Nivel II
206,"HERNANDEZ HERNANDEZ, JUAN DIEGO",Investigador(a) Nacional Nivel II
209,"VIVEROS Y MALDONADO, JOSE GERMAN",Investigador(a) Nacional Nivel III
210,"SANCHEZ ESQUIVEL, SERGIO",Investigador(a) Nacional Nivel III
212,"ESPINOSA GARCIA, GUILLERMO CIRANO",Investigador(a) Nacional Nivel II
216,"SOCOLOVSKY VAJOVSKY, MIGUEL",Investigador(a) Nacional Nivel II
221,"ORTIZ CRUZ, ETELBERTO",Investigador(a) Nacional Nivel III
222,"PEÑA CHAPA, JUAN LUIS",Investigador(a) Nacional Nivel III
224,"KURI HARCUCH, WALID",Investigador(a) Nacional Nivel III
227,"VIZCARRA MENDOZA, MARIO GONZALO",Investigador(a) Nacional Nivel I
229,"URIAS HERMOSILLO, JESUS",Investigador(a) Nacional Nivel III
231,"GARCIA DIAZ, ALBERTO ALEJANDRO",Investigador(a) Nacional Nivel III
234,"CHAMORRO ESCALANTE, JORGE ARTURO",Investigador(a) Nacional Nivel II
236,"HERREJON PEREDO, CARLOS",Investigador(a) Nacional Nivel III
238,"LIRA GONZALEZ, ANDRES",Investigador(a) Nacional Nivel III
239,"ARIAS ROZAS, MARIA PATRICIA",Investigador(a) Nacional Nivel III
240,"VERNON CARTER, EDUARDO JAIME",Investigador(a) Nacional Nivel III
241,"DURAND ARP NISEN, JORGE GUILLERMO",Investigador(a) Nacional Nivel III
244,"MIRANDA GODINEZ, FRANCISCO",Investigador(a) Nacional Nivel II
253,"ACEVES RUIZ, JORGE",Investigador(a) Nacional Nivel III
254,"SALINAS BRAVO, VICTOR MANUEL",Investigador(a) Nacional Nivel I
258,"CERVANTES VEGA, CARLOS",Investigador(a) Nacional Nivel III
265,"LUGO HUBP, JOSE INOCENTE",Investigador(a) Nacional Nivel II
267,"OTERO COLINA, GABRIEL",Investigador(a) Nacional Nivel II
271,"DE URQUIJO CARMONA, JAIME",Investigador(a) Nacional Nivel III
272,"URRUTIA RIOS, LUIS FERNANDO",Investigador(a) Nacional Nivel III
273,"PAZOS RANGEL, RODOLFO ABRAHAM",Investigador(a) Nacional Nivel II
276,"GALAZ FONTES, JESUS FRANCISCO",Investigador(a) Nacional Nivel II
280,"SANTILLAN BACA, ROSA LUISA",Investigador(a) Nacional Nivel III
281,"FARFAN GARCIA, JOSE NORBERTO",Investigador(a) Nacional Nivel III
282,"SERRANO GOMEZ, ENRIQUE",Investigador(a) Nacional Nivel II
286,"BURILLO AMEZCUA, SOFIA GUILLERMINA",Investigador(a) Nacional Nivel III
294,"DE MICHELI SERRA, ALFREDO ALESSANDRO",Investigador(a) Nacional Nivel II
299,"GOMEZ ROMERO, JOSE RICARDO",Investigador(a) Nacional Nivel III
305,"DE LOS REYES GARCIA, AURELIO",Investigador(a) Nacional Nivel III
306,"SALGADO CERVANTES, MARCO ANTONIO",Investigador(a) Nacional Nivel II
309,"BAÑOS RAMIREZ, OTHON",Investigador(a) Nacional Nivel II
311,"GONZALEZ OROPEZA, MANUEL",Investigador(a) Nacional Nivel III
314,"BARTRA MURIA, ROGER",Investigador(a) Nacional Nivel III
318,"GARCIA GALINDO, HUGO SERGIO",Investigador(a) Nacional Nivel III
320,"MALACARA HERNANDEZ, JUAN MANUEL",Investigador(a) Nacional Nivel III
323,"MC CLUNG HEUMANN, EMILY SEITZ",Investigador(a) Nacional Nivel I
326,"ACOSTA NAJARRO, DWIGHT ROBERTO",Investigador(a) Nacional Nivel III
327,"GUTIERREZ GARZA, ESTHELA MARIA",Investigador(a) Nacional Nivel III
329,"VINIEGRA VELAZQUEZ, LEONARDO ENRIQUE",Investigador(a) Nacional Nivel I
334,"PEÑA DIAZ, ANTONIO CALVIN",Investigador(a) Nacional Nivel III
336,"VILLAFUERTE Y CASTREJON, MARIA ELENA DEL REFUGIO",Investigador(a) Nacional Nivel III
337,"LOPEZ COLOME, ANA MARIA",Investigador(a) Nacional Nivel III
341,"PEREZ Y PERAZA, JORGE ALBERTO",Investigador(a) Nacional Nivel II
344,"RIVERA REBOLLEDO, JOSE MANUEL",Investigador(a) Nacional Nivel I
347,"CORONADO GALLARDO, MANUEL",Investigador(a) Nacional Nivel I
350,"VARGAS GUTIERREZ, GREGORIO",Investigador(a) Nacional Nivel II
351,"PEREZ ENRIQUEZ, HECTOR ROMAN",Investigador(a) Nacional Nivel II
353,"VALDES GALICIA, JOSE FRANCISCO",Investigador(a) Nacional Nivel III
354,"GOMEZ ARROYO, SANDRA LUZ",Investigador(a) Nacional Nivel III
355,"VILLALOBOS Y PIETRINI, RAFAEL DE JESUS",Investigador(a) Nacional Nivel III
361,"CALLEJA GJUMLICH, JORGE HUGO",Investigador(a) Nacional Nivel II
369,"DIAZ GUERRERO, GABRIELA ALICIA",Investigador(a) Nacional Nivel III
370,"FUENTES MOYADO, SERGIO",Investigador(a) Nacional Nivel III
372,"GONZALEZ FLORES, AGUSTIN EDUARDO",Investigador(a) Nacional Nivel II
374,"ROSENBAUM PITLUCK, MARCOS",Investigador(a) Nacional Nivel III
376,"SHIMADA MIYASAKA, ARMANDO SADAJIKO",Investigador(a) Nacional Nivel III
378,"MEDRANO ROLDAN, HIRAM",Investigador(a) Nacional Nivel I
386,"TORRES JIMENEZ, JOSE",Investigador(a) Nacional Nivel III
390,"ALMANZA SALGADO, RAFAEL",Investigador(a) Nacional Nivel III
395,"SANTIAGO CRUZ, MARIA DE JESUS LEONIDES",Investigador(a) Nacional Nivel I
398,"LARQUE SAAVEDRA, FRANCISCO ALFONSO",Investigador(a) Nacional Nivel III
400,"DIAZ MIRANDA, SOFIA YOLANDA",Investigador(a) Nacional Nivel III
402,"DE OLIVEIRA BARBOSA, ORLANDINA",Investigador(a) Nacional Nivel III
403,"GARCIA Y CALDERON, GASTON DANIEL",Investigador(a) Nacional Nivel III
404,"MARTINEZ MADRID, MIGUEL",Investigador(a) Nacional Nivel I
405,"ORTIZ ORTIZ, LIBRADO",Investigador(a) Nacional Nivel III
406,"GOMEZ MANCILLA, JULIO CESAR",Investigador(a) Nacional Nivel I
407,"NAJERA CORONADO, MARTHA ILIA",Investigador(a) Nacional Nivel II
410,"CONDES Y LARA, MIGUEL",Investigador(a) Nacional Nivel III
411,"DEL CASTILLO MUSSOT, MARCELO",Investigador(a) Nacional Nivel II
417,"ESCOBOSA ECHAVARRIA, ARTURO",Investigador(a) Nacional Nivel II
419,"ASOMOZA Y PALACIO, JOSE PABLO RENE",Investigador(a) Nacional Nivel III
420,"MAGAÑA SOLIS, LUIS FERNANDO",Investigador(a) Nacional Nivel III
421,"VAZQUEZ MANTECON, MARIA DEL CARMEN",Investigador(a) Nacional Nivel I
424,"FALCONY GUAJARDO, CIRO",Investigador(a) Nacional Nivel III
432,"LUNA ACOSTA, GERMAN AURELIO",Investigador(a) Nacional Nivel III
433,"MALDONADO GRANIEL, LUIS ANGEL",Investigador(a) Nacional Nivel II
434,"PELLICER GRAHAM, FRANCISCO JULIO",Investigador(a) Nacional Nivel III
437,"ALCOCER VARELA, JORGE CARLOS",Investigador(a) Nacional Nivel III
439,"CELIS SANDOVAL, HELIODORO",Investigador(a) Nacional Nivel I
442,"REYES SANCHEZ, JOSE LUIS",Investigador(a) Nacional Nivel III
444,"PONCE DE LEON ROSALES, SAMUEL",Investigador(a) Nacional Nivel III
447,"PICK STEINER, SUSAN EMILY",Investigador(a) Nacional Nivel III
452,"MORA DELGADO, MARCO ANTONIO",Investigador(a) Nacional Nivel I
453,"ZARATE DEL VALLE, PEDRO FAUSTINO",Investigador(a) Nacional Nivel I
454,"ARANDA GOMEZ, JOSE JORGE",Investigador(a) Nacional Nivel III
457,"SALAZAR IBARGUEN, HUMBERTO ANTONIO",Investigador(a) Nacional Nivel III
459,"ROJO ASENJO, ONOFRE",Investigador(a) Nacional Nivel I
460,"ESPIN OCAMPO, ELDA GUADALUPE",Investigador(a) Nacional Nivel III
461,"PALACIOS DE LA LAMA, RAFAEL RAUL",Investigador(a) Nacional Nivel III
462,"ORTIZ Y SALAZAR, MARIA ESTHER",Investigador(a) Nacional Nivel III
463,"FARIAS SANCHEZ, MARIO HUMBERTO",Investigador(a) Nacional Nivel III
466,"COTA ARAIZA, ERNESTO",Investigador(a) Nacional Nivel II
469,"DEL CASTILLO DAVILA, LUIS FELIPE",Investigador(a) Nacional Nivel III
470,"VENTURA JUAREZ, JAVIER",Investigador(a) Nacional Nivel III
471,"RODRIGUEZ ZEPEDA, ROSALIO FERNANDO",Investigador(a) Nacional Nivel III
472,"DOMINGUEZ ESQUIVEL, JOSE MANUEL",Investigador(a) Nacional Nivel III
473,"PALACIOS VARGAS, GUADALUPE",Investigador(a) Nacional Nivel III
474,"PIÑA GARZA, EDUARDO",Investigador(a) Nacional Nivel III
475,"ESPINDOLA CASTRO, JUAN MANUEL",Investigador(a) Nacional Nivel III
477,"SINGH SINGH, SHRI KRISHNA",Investigador(a) Nacional Nivel III
478,"CORTES ZORRILLA, JOSE",Investigador(a) Nacional Nivel I
483,"MARTINEZ GOMEZ, LORENZO",Investigador(a) Nacional Nivel III
485,"PAREDES LOPEZ, OCTAVIO",Investigador(a) Nacional Nivel III
501,"FERREIRO SCHIAVI, EMILIA BEATRIZ MARIA",Investigador(a) Nacional Nivel III
505,"SAURI DUCH, ENRIQUE",Investigador(a) Nacional Nivel II
508,"ARREGUIN SANCHEZ, FRANCISCO",Investigador(a) Nacional Nivel III
509,"DICKINSON BANNACK, FEDERICO HORACIO",Investigador(a) Nacional Nivel II
510,"BARCENA GAMA, JOSE RICARDO",Investigador(a) Nacional Nivel I
511,"LAGUNES TEJEDA, ANGEL",Investigador(a) Nacional Nivel I
516,"PARRA HAKE, MIGUEL PEDRO",Investigador(a) Nacional Nivel II
517,"SOMANATHAN , RATNASAMY",Investigador(a) Nacional Nivel III
522,"CARRILLO CALVET, HUMBERTO ANDRES",Investigador(a) Nacional Nivel III
533,"VAZQUEZ PELAEZ, CARLOS GUSTAVO",Investigador(a) Nacional Nivel II
534,"MARTINEZ RICHA, ANTONIO",Investigador(a) Nacional Nivel III
535,"RECAMIER ANGELINI, JOSE FRANCISCO",Investigador(a) Nacional Nivel II
536,"JAUREGUI RENAUD, ROCIO",Investigador(a) Nacional Nivel III
537,"MANCILLA PERCINO, TERESA",Investigador(a) Nacional Nivel II
538,"SOLORZA FERIA, OMAR",Investigador(a) Nacional Nivel III
540,"PAZ SANDOVAL, MARIA DE LOS ANGELES",Investigador(a) Nacional Nivel II
541,"IBAÑEZ CORNEJO, JORGE GUILLERMO",Investigador(a) Nacional Nivel III
543,"CONTRERAS THEUREL, ROSALINDA",Investigador(a) Nacional Nivel III
546,"LAGUARDA FIGUERAS, ALFREDO",Investigador(a) Nacional Nivel II
551,"BARRERA Y PEREZ, RUBEN GERARDO",Investigador(a) Nacional Nivel III
552,"BRUNER E ITURBIDE, CARLOS ANTONIO",Investigador(a) Nacional Nivel III
554,"CRUZ JIMENEZ, SALVADOR ANTONIO",Investigador(a) Nacional Nivel III
578,"MANZANILLA NAIM, LINDA ROSA",Investigador(a) Nacional Nivel III
584,"MEAS VONG, YUNNY",Investigador(a) Nacional Nivel III
587,"ROMO JONES, JOSE MANUEL",Investigador(a) Nacional Nivel I
589,"MUNGUIA OROZCO, LUIS",Investigador(a) Nacional Nivel II
592,"GAZQUEZ MATEOS, JOSE LUIS",Investigador(a) Nacional Nivel III
593,"ORTIZ ROMERO VARGAS, MARIA ELBA",Investigador(a) Nacional Nivel I
595,"CASTILLO CABALLERO, ROLANDO CRISOSTOMO",Investigador(a) Nacional Nivel III
596,"GALVAN ESPINOSA, MARCELO ENRIQUE",Investigador(a) Nacional Nivel III
597,"SANCHEZ CAMPEROS, EDGAR NELSON",Investigador(a) Nacional Nivel III
598,"RUIZ BOULLOSA, RICARDO",Investigador(a) Nacional Nivel II
604,"GUARNEROS PEÑA, GABRIEL",Investigador(a) Nacional Nivel III
605,"PADUA NESRALA, JORGE ANTONIO",Investigador(a) Nacional Nivel III
608,"SOTO EGUIBAR, ENRIQUE",Investigador(a) Nacional Nivel III
609,"GOMEZ TREVIÑO, ENRIQUE",Investigador(a) Nacional Nivel III
611,"ALBA ANDRADE, FERNANDO",Investigador(a) Nacional Nivel III
623,"VARGAS JARILLO, CRISTOBAL",Investigador(a) Nacional Nivel II
629,"HERNANDEZ ARANA, ANDRES",Investigador(a) Nacional Nivel III
630,"DREYFUS CORTES, GEORGES",Investigador(a) Nacional Nivel III
634,"PARDO CEMO, ANNIE",Investigador(a) Nacional Nivel III
635,"LASTRA Y VILLAR Y GARCIA GOMEZ, CLEMENTINA MERCED",Investigador(a) Nacional Nivel III
640,"MONZON GARCIA, MARIA CRISTINA",Investigador(a) Nacional Nivel III
642,"ROSALES HOZ, MARIA TOMASA LETICIA",Investigador(a) Nacional Nivel II
645,"ROSALES HOZ, MARIA DEL JESUS DEL SAGRADO CO",Investigador(a) Nacional Nivel III
646,"PASANTES ORDOÑEZ, HERMINIA",Investigador(a) Nacional Nivel III
647,"PEREZ DE LA MORA, MIGUEL ANGEL",Investigador(a) Nacional Nivel III
650,"GUTIERREZ CORONA, J. FELIX",Investigador(a) Nacional Nivel III
653,"POSSANI POSTAY, LOURIVAL DOMINGOS",Investigador(a) Nacional Nivel III
654,"NEGRON MENDOZA, ALICIA",Investigador(a) Nacional Nivel III
656,"GARCIA ALDRETE, ALFONSO NERI",Investigador(a) Nacional Nivel II
659,"GNECCO MEDINA, DINO HERNAN",Investigador(a) Nacional Nivel III
664,"VAZQUEZ NIN, GERARDO HEBERT",Investigador(a) Nacional Nivel III
665,"MOLINA TORRES, JORGE",Investigador(a) Nacional Nivel I
666,"LARA ROSANO, FELIPE DE JESUS",Investigador(a) Nacional Nivel III
670,"MARTINEZ , ROBERTO",Investigador(a) Nacional Nivel III
676,"ULLOA SOSA, MIGUEL ARMANDO",Investigador(a) Nacional Nivel II
677,"ECHEVERRIA MARTINEZ, OLGA MARGARITA",Investigador(a) Nacional Nivel II
682,"CARRASCO BAZUA, LUIS",Investigador(a) Nacional Nivel III
684,"MENDIETA JIMENEZ, FRANCISCO JAVIER",Investigador(a) Nacional Nivel I
686,"MIRANDA COLIN, SALVADOR",Investigador(a) Nacional Nivel II
687,"CERBON SOLORZANO, JORGE",Investigador(a) Nacional Nivel III
691,"DULTZIN KESSLER, DEBORA",Investigador(a) Nacional Nivel III
692,"MORENO CADENAS, JOSE ANTONIO",Investigador(a) Nacional Nivel I
693,"HACYAN SALERYAN, SAHEN",Investigador(a) Nacional Nivel III
698,"JUAREZ WYSOZKA, SARA REBECA",Investigador(a) Nacional Nivel I
700,"LEAL Y FERNANDEZ, JUAN FELIPE",Investigador(a) Nacional Nivel II
706,"WOLF BOGNER, KURT BERNARDO",Investigador(a) Nacional Nivel III
710,"RODRIGUEZ Y ARAUJO, OCTAVIO",Investigador(a) Nacional Nivel III
711,"SOTO HERNANDEZ, RAMON MARCOS",Investigador(a) Nacional Nivel III
712,"CORDERO BORBOA, ADOLFO ERNESTO",Investigador(a) Nacional Nivel I
713,"TAPIA IBARGUENGOYTIA, RICARDO JORGE",Investigador(a) Nacional Nivel III
714,"NIEWIEROWICZ SWIECICKA, TADEUSZ",Investigador(a) Nacional Nivel I
719,"ROJAS GONZALEZ, FERNANDO",Investigador(a) Nacional Nivel III
722,"CASTILLO ALVARADO, FRAY DE LANDA",Investigador(a) Nacional Nivel III
723,"KORNHAUSER STRAUS, ISAAC",Investigador(a) Nacional Nivel I
727,"LAPIDUS LAVINE, GRETCHEN TERRI",Investigador(a) Nacional Nivel II
728,"WILSON ROBERTS, RICHARD GORDON",Investigador(a) Nacional Nivel III
729,"CANTO ILLA, JORGE DANIEL CARLOS",Investigador(a) Nacional Nivel III
735,"GALINDO FENTANES, ENRIQUE",Investigador(a) Nacional Nivel III
736,"GARCIA SALGADO, TOMAS",Investigador(a) Nacional Nivel III
739,"OLIVA SALINAS, JUAN GERARDO",Investigador(a) Nacional Nivel II
740,"DELGADILLO MOYA, CLAUDIO",Investigador(a) Nacional Nivel III
741,"BARRIO PAREDES, RAFAEL ANGEL",Investigador(a) Nacional Nivel III
742,"TAGÜEÑA PARGA, JULIA",Investigador(a) Nacional Nivel III
743,"HEIRAS AGUIRRE, JESUS LEONARDO",Investigador(a) Nacional Nivel II
748,"ROSADO SOLIS, MARGARITA EUGENIA DEL SOCORRO",Investigador(a) Nacional Nivel III
749,"ROMO DE VIVAR ROMO, ALFONSO",Investigador(a) Nacional Nivel III
753,"URIBE SANCHEZ, FRANCISCO JAVIER",Investigador(a) Nacional Nivel I
754,"CONTRERAS PEREZ, CARLOS MANUEL",Investigador(a) Nacional Nivel III
760,"BRODA PRUCHA, JOHANNA",Investigador(a) Nacional Nivel III
764,"SABINA CISCAR, FEDERICO JUAN",Investigador(a) Nacional Nivel III
767,"GARCIA REIMBERT, CATHERINE",Investigador(a) Nacional Nivel II
768,"MELLO PICCO, PIER ACHILLE",Investigador(a) Nacional Nivel III
772,"MEDINA MORA ICAZA, MARIA ELENA TERESA",Investigador(a) Nacional Nivel III
774,"FAHMEL BEYER, BERND WALTER FEDERICO",Investigador(a) Nacional Nivel I
775,"KLAPP ESCRIBANO, JAIME LAZARO",Investigador(a) Nacional Nivel III
778,"BRAILOVSKY Y ALPEROWITZ, HARRY URAD",Investigador(a) Nacional Nivel III
780,"SORIANO GARCIA, MANUEL",Investigador(a) Nacional Nivel III
782,"TOSCANO , RUBEN ALFREDO",Investigador(a) Nacional Nivel II
783,"MORALES ACEVEDO, JOSE ARTURO",Investigador(a) Nacional Nivel III
785,"AZORIN NIETO, JUAN",Investigador(a) Nacional Nivel III
786,"AMAYA TAPIA, ALEJANDRO",Investigador(a) Nacional Nivel I
787,"GOMEZ MONT AVALOS, XAVIER",Investigador(a) Nacional Nivel III
790,"SALMON SALAZAR, MANUEL DE JESUS",Investigador(a) Nacional Nivel III
795,"LOPEZ REVILLA, RUBEN HIPOLITO",Investigador(a) Nacional Nivel II
799,"VALENCIA JUILLERAT, MAURO EDUARDO FERNANDO",Investigador(a) Nacional Nivel III
805,"PEREZ GUTIERREZ, MARIA SALUD",Investigador(a) Nacional Nivel III
807,"LLAMAS HUITRON, IGNACIO",Investigador(a) Nacional Nivel II
808,"SANCHEZ SILVA, FLORENCIO",Investigador(a) Nacional Nivel I
809,"YUSTE LOPEZ, FRANCISCO",Investigador(a) Nacional Nivel III
820,"GONZALEZ LEON, CARLOS MANUEL",Investigador(a) Nacional Nivel II
822,"ROLDAN QUINTANA, JAIME SERGIO FELIPE",Investigador(a) Nacional Nivel I
826,"CETINA ALCALA, VICTOR MANUEL",Investigador(a) Nacional Nivel I
828,"JIMENEZ ESTRADA, MANUEL",Investigador(a) Nacional Nivel III
833,"CALVA Y MERCADO, EDMUNDO",Investigador(a) Nacional Nivel III
836,"ESTRADA MEDINA, JESUS ALEJANDRO",Investigador(a) Nacional Nivel II
840,"MOCHAN BACKAL, WOLF LUIS",Investigador(a) Nacional Nivel III
843,"FLORES VALDES, ALFREDO",Investigador(a) Nacional Nivel II
846,"TORRENS MIQUEL, HUGO",Investigador(a) Nacional Nivel III
847,"PIMENTEL RICO, LUIS OCTAVIO",Investigador(a) Nacional Nivel III
852,"PORTER KAMLIN, ROBERT MICHAEL",Investigador(a) Nacional Nivel III
853,"VARGAS MENDOZA, JOSE ANTONIO",Investigador(a) Nacional Nivel I
858,"VERJOVSKY SOLA, SANTIAGO ALBERTO",Investigador(a) Nacional Nivel III
861,"WEISS STEIDER, BENNY",Investigador(a) Nacional Nivel II
864,"HENDRICKX RENERS, MICHEL EDMOND",Investigador(a) Nacional Nivel III
872,"PEREZ ZAMORA, OCTAVIO",Investigador(a) Nacional Nivel I
903,"GUZMAN ORTIZ, DORA LINDA ASUNCION",Investigador(a) Nacional Nivel II
904,"PEÑA CABRIALES, JUAN JOSE",Investigador(a) Nacional Nivel III
905,"AGUAYO QUEZADA, SERGIO",Investigador(a) Nacional Nivel III
909,"HANSEN HANSEN, ANNE MARGRETHE",Investigador(a) Nacional Nivel I
910,"PEREDA FAILACHE, JUAN CARLOS",Investigador(a) Nacional Nivel III
914,"ALDUNCIN GONZALEZ, GONZALO",Investigador(a) Nacional Nivel II
921,"HERRERA REVILLA, ISMAEL",Investigador(a) Nacional Nivel III
925,"GONZALEZ PARTIDA, EDUARDO",Investigador(a) Nacional Nivel III
926,"ESCOBAR PEREZ, LEONILA IRMA LAURA",Investigador(a) Nacional Nivel II
928,"RUIZ DE LA HERRAN Y VILLAGOMEZ, JOSE ANTONIO",Investigador(a) Nacional Nivel III
933,"TORO VAZQUEZ, JORGE FERNANDO",Investigador(a) Nacional Nivel III
934,"LEYVA RAMOS, ROBERTO",Investigador(a) Nacional Nivel III
936,"CORNEJO RODRIGUEZ, ANSELMO ALEJANDRO",Investigador(a) Nacional Nivel III
945,"AGUILAR LAURENTS, MARIA ISABEL",Investigador(a) Nacional Nivel II
947,"VILLAFUERTE ROBLES, LEOPOLDO",Investigador(a) Nacional Nivel I
952,"VICENTE HINESTROZA, LUIS ALBERTO",Investigador(a) Nacional Nivel III
953,"RACOTTA POULIEFF, RADU GHEORGHE",Investigador(a) Nacional Nivel II
963,"LOPEZ CAJUN, CARLOS SANTIAGO",Investigador(a) Nacional Nivel II
965,"RODRIGUEZ SALA Y MURO, MARIA LUISA",Investigador(a) Nacional Nivel III
966,"CARTON DE GRAMMONT BARBET, HUBERT FRANCIS MARIE",Investigador(a) Nacional Nivel III
974,"CHAVEZ RIVAS, FERNANDO",Investigador(a) Nacional Nivel I
975,"ESCALANTE ESTRADA, JOSE ALBERTO SALVADOR",Investigador(a) Nacional Nivel II
978,"BOTTON Y BEJA, FLORA",Investigador(a) Nacional Nivel I
985,"CHAVEZ VILLASANA, ADOLFO",Investigador(a) Nacional Nivel III
987,"RUIZ Y ARGUELLES, GUILLERMO JOSE",Investigador(a) Nacional Nivel III
